Data;Valor
jan/06;589
fev/06;561
mar/06;640
abr/06;656
mai/06;727
jun/06;697
jul/06;640
ago/06;599
set/06;568
out/06;577
nov/06;553
dez/06;582
jan/07;600
fev/07;566
mar/07;653
abr/07;673
mai/07;742
jun/07;716
jul/07;660
ago/07;617
set/07;583
out/07;587
nov/07;565
dez/07;598
jan/08;628
fev/08;618
mar/08;688
abr/08;705
mai/08;770
jun/08;736
jul/08;678
ago/08;639
set/08;604
out/08;611
nov/08;594
dez/08;634
jan/09;658
fev/09;622
mar/09;709
abr/09;722
mai/09;782
jun/09;756
jul/09;702
ago/09;653
set/09;615
out/09;621
nov/09;602
dez/09;635
jan/10;677
fev/10;635
mar/10;736
abr/10;755
mai/10;811
jun/10;798
jul/10;735
ago/10;697
set/10;661
out/10;667
nov/10;645
dez/10;688
jan/11;713
fev/11;667
mar/11;762
abr/11;784
mai/11;837
jun/11;817
jul/11;767
ago/11;722
set/11;681
out/11;687
nov/11;660
dez/11;698
jan/12;717
fev/12;696
mar/12;775
abr/12;796
mai/12;858
jun/12;826
jul/12;783
ago/12;740
set/12;701
out/12;706
nov/12;677
dez/12;711
jan/13;734
fev/13;690
mar/13;785
abr/13;805
mai/13;871
jun/13;845
jul/13;801
ago/13;764
set/13;725
out/13;723
nov/13;690
dez/13;734
jan/14;750
fev/14;707
mar/14;807
abr/14;824
mai/14;886
jun/14;859
jul/14;819
ago/14;783
set/14;740
out/14;747
nov/14;711
dez/14;751
jan/15;804
fev/15;756
mar/15;860
abr/15;878
mai/15;942
jun/15;913
jul/15;869
ago/15;834
set/15;790
out/15;800
nov/15;763
dez/15;800
jan/16;826
fev/16;799
mar/16;890
abr/16;900
mai/16;961
jun/16;935
jul/16;894
ago/16;855
set/16;809
out/16;810
nov/16;766
dez/16;805
jan/17;821
fev/17;773
mar/17;883
abr/17;898
mai/17;957
jun/17;924
jul/17;881
ago/17;837
set/17;784
out/17;791
nov/17;760
dez/17;802
jan/18;828
fev/18;778
mar/18;889
abr/18;902
mai/18;969
jun/18;947
jul/18;908
ago/18;867
set/18;815
out/18;812
nov/18;773
dez/18;813
jan/19;834
fev/19;782
mar/19;892
abr/19;903
mai/19;966
jun/19;937
jul/19;896
ago/19;858
set/19;817
out/19;827
nov/19;797
dez/19;843
