ID;CHEQUEESPECIAL;HISTORICO_CREDITO;RESIDENCIA;Pagador
1;<0;crítica / outros de crédito existente;própria;bom
2;0<=X<200;existente e pago;própria;ruim
3;sem cheque;crítica / outros de crédito existente;própria;bom
4;<0;existente e pago;gratuitamente;bom
5;<0;atrasos anteriores;gratuitamente;ruim
6;sem cheque;existente e pago;gratuitamente;bom
7;sem cheque;existente e pago;própria;bom
8;0<=X<200;existente e pago;alugada;bom
9;sem cheque;existente e pago;própria;bom
10;0<=X<200;crítica / outros de crédito existente;própria;ruim
11;0<=X<200;existente e pago;alugada;ruim
12;<0;existente e pago;alugada;ruim
13;0<=X<200;existente e pago;própria;bom
14;<0;crítica / outros de crédito existente;própria;ruim
15;<0;existente e pago;alugada;bom
16;<0;existente e pago;própria;ruim
17;sem cheque;crítica / outros de crédito existente;própria;bom
18;<0;sem créditos/todos pagos;própria;bom
19;0<=X<200;existente e pago;gratuitamente;ruim
20;sem cheque;existente e pago;própria;bom
21;sem cheque;crítica / outros de crédito existente;própria;bom
22;<0;existente e pago;alugada;bom
23;<0;crítica / outros de crédito existente;alugada;bom
24;0<=X<200;crítica / outros de crédito existente;própria;bom
25;sem cheque;crítica / outros de crédito existente;própria;bom
26;<0;existente e pago;própria;bom
27;sem cheque;sem créditos/todos pagos;própria;bom
28;>=200;todos pagos;alugada;bom
29;0<=X<200;existente e pago;própria;bom
30;<0;atrasos anteriores;própria;ruim
31;0<=X<200;existente e pago;própria;bom
32;<0;existente e pago;própria;bom
33;0<=X<200;existente e pago;própria;bom
34;sem cheque;crítica / outros de crédito existente;alugada;bom
35;>=200;existente e pago;própria;bom
36;0<=X<200;crítica / outros de crédito existente;própria;ruim
37;sem cheque;crítica / outros de crédito existente;gratuitamente;bom
38;>=200;existente e pago;própria;ruim
39;>=200;existente e pago;própria;bom
40;0<=X<200;existente e pago;própria;bom
41;sem cheque;existente e pago;própria;bom
42;0<=X<200;existente e pago;própria;bom
43;0<=X<200;atrasos anteriores;própria;bom
44;<0;crítica / outros de crédito existente;alugada;bom
45;<0;crítica / outros de crédito existente;gratuitamente;ruim
46;sem cheque;crítica / outros de crédito existente;própria;bom
47;sem cheque;existente e pago;própria;bom
48;<0;existente e pago;alugada;bom
49;sem cheque;crítica / outros de crédito existente;própria;bom
50;sem cheque;existente e pago;própria;bom
51;0<=X<200;atrasos anteriores;própria;bom
52;0<=X<200;atrasos anteriores;própria;bom
53;sem cheque;existente e pago;própria;bom
54;sem cheque;existente e pago;própria;bom
55;0<=X<200;atrasos anteriores;gratuitamente;ruim
56;sem cheque;todos pagos;própria;bom
57;0<=X<200;existente e pago;própria;ruim
58;sem cheque;crítica / outros de crédito existente;própria;bom
59;>=200;existente e pago;própria;bom
60;<0;crítica / outros de crédito existente;alugada;ruim
61;0<=X<200;existente e pago;própria;bom
62;0<=X<200;crítica / outros de crédito existente;própria;bom
63;0<=X<200;sem créditos/todos pagos;gratuitamente;ruim
64;0<=X<200;sem créditos/todos pagos;própria;ruim
65;sem cheque;existente e pago;própria;bom
66;sem cheque;existente e pago;própria;bom
67;sem cheque;existente e pago;própria;bom
